idPolozka,Nazev,Autor,datumVydani,idSkladu,cena
1,Nádherný svìt,Josef Èapek,1921-05-23,1,500
2,Èeský rok,Alois Jirásek,1896-08-17,2,650
3,Hrdinové Lidových písní,Karel Bendl,1900-12-08,3,420
4,Evropa ve støedovìku,Norman Cantor,1998-02-15,4,320
5,Dìjiny èeského národa,František Palacký,1848-11-12,5,850
6,Pohádky,Božena Nìmcová,1845-06-20,1,280
7,Kytice,Karel Jaromír Erben,1853-11-13,2,390
8,Nicomachean Ethics,Aristotle,0000-01-01,3,900
9,The Prince,Niccolo Machiavelli,1532-12-10,4,600
10,Hamlet,William Shakespeare,1609-08-11,5,750
11,Crime and Punishment,Fyodor Dostoevsky,1866-11-11,1,680
12,The Brothers Karamazov,Fyodor Dostoevsky,1880-11-11,2,750
13,The Odyssey,Homer,0000-01-01,3,500
14,One Hundred Years of Solitude,Gabriel Garcia Marquez,1967-05-30,4,640
15,The Great Gatsby,F. Scott Fitzgerald,1925-04-10,5,850
16,To Kill a Mockingbird,Harper Lee,1960-07-11,1,700
17,1984,George Orwell,1949-06-08,2,580
18,Pride and Prejudice,Jane Austen,1813-01-28,3,890
19,The Catcher in the Rye,J.D. Salinger,1951-07-16,4,780
20,The Lord of the Rings,J.R.R. Tolkien,1954-07-29,5,1050
21,Harry Potter and the Philosopher's Stone,J.K. Rowling,1997-06-26,1,920
22,The Hobbit,J.R.R. Tolkien,1937-09-21,2,770
23,Alice's Adventures in Wonderland,Lewis Carroll,1865-11-26,3,550
24,The Chronicles of Narnia,C.S. Lewis,1950-10-16,4,790
25,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979-10-12,5,680
26,Brave New World,Aldous Huxley,1932-05-11,1,720
27,The Shining,Stephen King,1977-01-28,2,850
28,The Girl with the Dragon Tattoo,Stieg Larsson,2005-08-01,3,920
29,The Hunger Games,Suzanne Collins,2008-09-14,4,670
30,The Road,Cormac McCarthy,2006-09-26,5,690
31,Science Magazine,Various Authors,2023-05-01,1,120
32,National Geographic,Various Authors,2023-06-15,2,150
33,Fashion Weekly,Fashion Experts,2023-07-20,3,80
34,Tech Trends,Tech Enthusiasts,2023-08-10,4,100
35,Art Review,Art Critics,2023-09-05,5,130
